utfall,utfall_label,naering_col,naering_label,beta,se,r,p,r2,n
faktisk_jobb3,Faktisk jobb 3 mnd,ssb_varehandel,Varehandel,-84.7991,32.7243,-0.569,0.0213,0.324,16
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-0.5186,9.4734,-0.017,0.9573,0.0,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-8.935,9.0024,-0.287,0.3423,0.082,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,1.475,4.5795,0.097,0.7534,0.009,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-12.4887,9.3063,-0.375,0.2067,0.141,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,-18.2938,12.1598,-0.413,0.1606,0.171,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-19.3115,6.658,-0.658,0.0144,0.433,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_industri,Industri,-15.4354,13.0339,-0.336,0.2613,0.113,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,7.3859,7.196,0.296,0.3268,0.087,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,-0.7868,7.1567,-0.033,0.9144,0.001,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-10.0276,7.9143,-0.357,0.2313,0.127,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-11.6221,9.9224,-0.333,0.2662,0.111,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-0.9041,2.6685,-0.102,0.7411,0.01,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_transport_og_lagring,Transport Og Lagring,-9.4664,6.1558,-0.421,0.1523,0.177,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_undervisning,Undervisning,-25.0643,17.2589,-0.401,0.1744,0.161,13
indikator_atid12,Indikatoravvik atid 12 mnd,ssb_varehandel,Varehandel,-8.8952,4.2403,-0.535,0.0598,0.286,13
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,9.1339,5.3857,0.413,0.112,0.17,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-1.1067,6.4407,-0.046,0.866,0.002,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,3.0866,2.9648,0.268,0.3155,0.072,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-2.976,6.0439,-0.13,0.6301,0.017,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,4.0379,9.0074,0.119,0.6608,0.014,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-7.1636,6.0969,-0.3,0.2596,0.09,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_industri,Industri,-5.0042,9.1086,-0.145,0.5914,0.021,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,6.1974,4.211,0.366,0.1632,0.134,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,-0.387,4.9309,-0.021,0.9385,0.0,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-3.1958,5.0728,-0.166,0.5389,0.028,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-6.9251,7.3856,-0.243,0.3643,0.059,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-0.0255,1.9101,-0.004,0.9896,0.0,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_transport_og_lagring,Transport Og Lagring,-5.2302,4.3639,-0.305,0.2506,0.093,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_undervisning,Undervisning,-1.0751,10.9364,-0.026,0.9231,0.001,16
indikator_atid3,Indikatoravvik atid 3 mnd,ssb_varehandel,Varehandel,-6.6578,3.2334,-0.482,0.0586,0.232,16
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_bergverksdrift_og_utvinning,Bergverksdrift Og Utvinning,-100.7875,36.8482,-0.636,0.0194,0.405,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_bygge__og_anlegg,Bygge  Og Anlegg,-93.6991,38.0241,-0.596,0.0314,0.356,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_eiendom_og_tjenesteyting,Eiendom Og Tjenesteyting,-20.5691,22.3495,-0.267,0.3771,0.071,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_elektrisitet_vann_og_renovasjon,Elektrisitet Vann Og Renovasjon,-63.7708,46.8139,-0.38,0.2004,0.144,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_finans_og_forsikring,Finans Og Forsikring,-166.0189,45.0004,-0.744,0.0036,0.553,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_helse__og_sosialtjenester,Helse  Og Sosialtjenester,-102.4782,32.1463,-0.693,0.0086,0.48,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_industri,Industri,-197.1706,36.5153,-0.852,0.0002,0.726,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_informasjon_og_kommunikasjon,Informasjon Og Kommunikasjon,19.3407,37.5225,0.154,0.6164,0.024,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_jordbruk_skogbruk_og_fiske,Jordbruk Skogbruk Og Fiske,-19.8711,35.5968,-0.166,0.5879,0.028,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_kultur_og_personlige_tjenester,Kultur Og Personlige Tjenester,-42.9972,40.6938,-0.304,0.3133,0.092,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_offentlig_administrasjon,Offentlig Administrasjon,-48.4944,50.9926,-0.276,0.362,0.076,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_overnatting_og_servering,Overnatting Og Servering,-22.0703,11.7715,-0.492,0.0876,0.242,13
indikator_jobb12,Indikatoravvik jobb 12 mnd,ssb_transport_og_lagring,Transport Og Lagring,-55.0939,29.9009,-0.486,0.0925,0.236,13
