aar,felles,stramhetsindikator_ssb,stramhetsindikator_bedrift,mangel_antall
2021,Finans og forsikring,0.01926444833625219,0.008694926916741383,400.0
2022,Finans og forsikring,0.02155887230514096,0.006682567750956121,350.0
2023,Finans og forsikring,0.024390243902439025,0.005047885075818037,250.0
2024,Finans og forsikring,0.02240325865580448,0.0027046626031397604,150.0
2025,Finans og forsikring,0.02386117136659436,0.005361084831283507,300.0
2026,Finans og forsikring,0.016129032258064516,0.002141287402092451,100.0
2021,Helse- og sosialtjenester,0.03434206052363142,0.020127290099252862,11550.0
2022,Helse- og sosialtjenester,0.03477523324851569,0.027331290686719686,16100.0
2023,Helse- og sosialtjenester,0.044691809270642965,0.02466070027751301,14600.0
2024,Helse- og sosialtjenester,0.04638339279922154,0.022966534241014688,13800.0
2025,Helse- og sosialtjenester,0.04199475065616798,0.01888632721667621,11450.0
2026,Helse- og sosialtjenester,0.048894842598794376,0.011880922892231678,7200.0
2021,Industri,0.016966067864271458,0.01429647067793864,3000.0
2022,Industri,0.0267639902676399,0.021064177362893816,4500.0
2023,Industri,0.0275049115913556,0.015109282879093165,3250.0
2024,Industri,0.0274949083503055,0.013968702618722273,3000.0
2025,Industri,0.031578947368421054,0.015335686164356875,3400.0
2026,Industri,0.01879871618523613,0.010124097503260416,2250.0
2021,Informasjon og kommunikasjon,0.04027420736932305,0.03644292612172453,3800.0
2022,Informasjon og kommunikasjon,0.046511627906976744,0.023861894888668533,2650.0
2023,Informasjon og kommunikasjon,0.050073637702503684,0.010503406510219531,1200.0
2024,Informasjon og kommunikasjon,0.03200624512099922,0.006572430248684222,750.0
2025,Informasjon og kommunikasjon,0.036929761042722664,0.004750068101334787,550.0
2026,Informasjon og kommunikasjon,0.02702702702702703,0.01015799430743272,1200.0
2021,"Jordbruk, skogbruk og fiske",0.00684931506849315,0.015313533393083414,1000.0
2022,"Jordbruk, skogbruk og fiske",0.01639344262295082,0.01694941441859028,1100.0
2023,"Jordbruk, skogbruk og fiske",0.017595307917888565,0.009811519623039248,650.0
2024,"Jordbruk, skogbruk og fiske",0.009628610729023384,0.009915828993581203,650.0
2025,"Jordbruk, skogbruk og fiske",0.007407407407407408,0.005600961904327048,350.0
2026,"Jordbruk, skogbruk og fiske",0.006993006993006993,0.010092489380291024,650.0
2021,Kultur og personlige tjenester,0.017391304347826087,0.008885106694484095,950.0
2022,Kultur og personlige tjenester,0.022852639873916468,0.015283899741790771,1750.0
2023,Kultur og personlige tjenester,0.036418816388467376,0.014998482446969951,1800.0
2024,Kultur og personlige tjenester,0.03273809523809524,0.010748770267808343,1300.0
2025,Kultur og personlige tjenester,0.016722408026755852,0.009555902845607868,1150.0
2026,Kultur og personlige tjenester,0.020293911826452064,0.01547679674072188,1950.0
2021,Offentlig administrasjon,0.025330396475770924,0.003811125935379082,650.0
2022,Offentlig administrasjon,0.02547065337763012,0.005969928406387652,1050.0
2023,Offentlig administrasjon,0.03440621531631521,0.006395752083593901,1150.0
2024,Offentlig administrasjon,0.04261529480443666,0.005540542837233807,1000.0
2025,Offentlig administrasjon,0.02574457344775366,0.0051842425583711405,950.0
2026,Offentlig administrasjon,0.0297339593114241,0.0053564692568841945,1000.0
2021,Overnatting og servering,0.015256588072122053,0.026607806243064597,2200.0
2022,Overnatting og servering,0.061930783242258654,0.059793712678280604,6050.0
2023,Overnatting og servering,0.06764168190127971,0.03312356332667596,3500.0
2024,Overnatting og servering,0.06788247213779129,0.02867946812969101,3000.0
2025,Overnatting og servering,0.04013961605584642,0.02566137813179938,2750.0
2026,Overnatting og servering,0.052997393570807995,0.028337845056268275,3150.0
2021,Transport og lagring,0.015748031496062992,0.010430448293898649,1350.0
2022,Transport og lagring,0.0229459659511473,0.02915805553059574,3900.0
2023,Transport og lagring,0.03364352183249821,0.01572792842415536,2100.0
2024,Transport og lagring,0.04353562005277045,0.013383715619982028,1800.0
2025,Transport og lagring,0.023917259211376857,0.01057148232297651,1450.0
2026,Transport og lagring,0.019732654360280075,0.011902448853291885,1650.0
2021,Undervisning,0.023485784919653894,0.007092385804669007,1600.0
2022,Undervisning,0.02274641954507161,0.011212986363283509,2600.0
2023,Undervisning,0.02584493041749503,0.011146721063120656,2600.0
2024,Undervisning,0.023556231003039513,0.00810866886567556,1900.0
2025,Undervisning,0.019851116625310174,0.005083465582646627,1200.0
2026,Undervisning,0.023336214347450302,0.01013166037172183,2350.0
